杯盘比偏大 ______ 杯盤比偏大
提示生理性大杯或青光眼可能。表现为视杯、视盘比值偏大等类似改变。 ______ 提示生理性大杯或青光眼可能。表現為視杯、視盤比值偏大等類似改變。
杯盘比是指视网膜照相最亮的部分与周围浅色部分的比值。杯盘比偏大可能是先天性的，也可能是青光眼的征兆。情绪激动、压抑、过度用眼、暗光线工作等，易引起青光眼。 ______ 杯盤比是指視網膜照相最亮的部分與周圍淺色部分的比值。杯盤比偏大可能是先天性的，也可能是青光眼的徵兆。情緒激動、壓抑、過度用眼、暗光線工作等，易引起青光眼。
如有青光眼家族史、高度近视，或有眼痛、眼胀、虹视等症状，建议进一步眼科检查。否则暂无需就医，可定期复查。 ______ 如有青光眼家族史、高度近視，或有眼痛、眼脹、虹視等症狀，建議進一步眼科檢查。否則暫無需就醫，可定期復查。
静脉阻塞 ______ 靜脈阻塞
视网膜静脉迂曲扩张，有放射状出血、棉絮斑，或伴有视盘附近新生血管等类似改变。 ______ 視網膜靜脈迂曲擴張，有放射狀出血、棉絮斑，或伴有視盤附近新生血管等類似改變。
静脉阻塞与高血压、动脉硬化、糖尿病等疾病有密切关系。严重时会造成视力下降，或某一部分视野缺损。 ______ 靜脈阻塞與高血壓、動脈硬化、糖尿病等疾病有密切關係。嚴重時會造成視力下降，或某一部分視野缺損。
黄斑部异常 ______ 黃斑部異常
视网膜可见黄斑区色泽异常，中心凹反光消失、渗出或存在其他改变。 ______ 視網膜可見黃斑區色澤異常，中心凹反光消失、滲出或存在其他改變。
类似特征 ______ 類似特徵
黄斑负责人眼的中心视觉，黄斑部异常意味有视力下降的风险。 ______ 黃斑負責人眼的中心視覺，黃斑部異常意味有視力下降的風險。
视网膜激光斑 ______ 視網膜激光斑
眼底可见灰白色圆形灼烧后瘢痕样改变，提示眼底过往进行过激光治疗可能。 ______ 眼底有灰白色圓形灼燒後瘢痕樣改變，提示眼底過往進行過激光治療可能。
一般是由眼部激光手术造成。平时可能会有眼干、眼涩、视疲劳等干眼症特征。 ______ 一般是由眼部激光手術造成。平時可能會有眼乾、眼澀、視疲勞等乾眼症特徵。
1.跟踪随访、定期复查 ______ 1.跟踪隨訪、定期復查
常见视盘异常 ______ 常見視盤異常
眼底可见视盘色泽异常，边界不清。提示视盘病变可能。 ______ 眼底有視盤色澤異常，邊界不清。提示視盤病變可能。
其他视神经疾病 ______ 其他視神經疾病
眼底可见视神经的各种异常表现。提示视神经病变可能。 ______ 眼底有視神經的各種異常表現。提示視神經病變可能。
1.进一步检查，明确诊断。<br/>2.每半年复查一次眼底。 ______ 1.進一步檢查，明確診斷。<br/>2.每半年復查一次眼底。
脉络膜疾病和其他视网膜疾病 ______ 脈絡膜疾病和其他視網膜疾病
有疑似病理改变，因病变特征性不符，不能判别为本方案识别范围内的病变 ______ 有疑似病理改變，因病變特徵性不符，不能判別為本方案識別範圍內的病變
其他明显异常提示 ______ 其他明顯異常提示
眼底可见脉络膜或者视网膜色泽与形态异常，提示脉络膜疾病或者视网膜病变可能。 ______ 眼底有脈絡膜或者視網膜色澤與形態異常，提示脈絡膜疾病或者視網膜病變可能。
视盘水肿类异常 ______ 視盤水腫類異常
牵牛花综合征 ______ 牽牛花綜合徵
眼底可见视盘面积明显扩大，中央如花蕊样白色不透明，外周脉络膜萎缩。 ______ 眼底有視盤面積明顯擴大，中央如花蕊樣白色不透明，外周脈絡膜萎縮。
牵牛花综合征为视乳头的先天性发育异常，病眼视力自幼高度不良，常因此而发生先天性斜视，无有效治疗方法。 ______ 牽牛花綜合徵為視乳頭的先天性發育異常，病眼視力自幼高度不良，常因此而發生先天性斜視，無有效治療方法。
听从医嘱 ______ 聽遵醫囑
视盘黑色素细胞瘤 ______ 視盤黑色素細胞瘤
眼底可见视盘上隆起的灰色至乌黑色病变。 ______ 眼底有視盤上隆起的灰色至烏黑色病變。
视盘黑色素细胞瘤是一种少见的、良性、生长缓慢、很少影响视力的肿瘤。它常伴有视野缺损，若肿瘤压迫视网膜静脉或造成血管阻塞也可导致不同程度的视力障碍。 ______ 視盤黑色素細胞瘤是一種少見的、良性、生長緩慢、很少影響視力的腫瘤。它常伴有視野缺損，若腫瘤壓迫視網膜靜脈或造成血管阻塞也可導致不同程度的視力障礙。
脉络膜血管瘤 ______ 脈絡膜血管瘤
影像可见淡红色或橘红色扁平隆起病灶等类似改变，边界不清。 ______ 影像有淡紅色或橘紅色扁平隆起病灶等類似改變，邊界不清。
是先天性脉络膜血管畸形，属于良性、血管性、错构瘤性病变。一般不需要治疗。 ______ 是先天性脈絡膜血管畸形，屬於良性、血管性、錯構瘤性病變。一般不需要治療。
积极治疗，平时注意用眼卫生，定期复查 ______ 積極治療，平時注意用眼衛生，定期復查
先天性脉络膜缺损 ______ 先天性脈絡膜缺損
提示视网膜有片状明亮灰白色区，边缘境界分明，常有不规则的色素沉着等类似改变。 ______ 提示視網膜有片狀明亮灰白色區，邊緣境界分明，常有不規則的色素沉著等類似改變。
一种先天性发育异常，实际上是脉络膜及视网膜色素上皮层的缺损，常为眼球先天性组织缺损的一部分，无特殊治疗，并发视网膜脱离时可行手术治疗。 ______ 一種先天性發育異常，實際上是脈絡膜及視網膜色素上皮層的缺損，常為眼球先天性組織缺損的一部分，無特殊治療，並發視網膜脫離時可行手術治療。
1.黄斑正常，<br/>视力尚好者定期复查。<br/>2.部分情况会合并视网膜脱离，避免剧烈运动 ______ 1.黃斑正常，<br/>視力尚好者定期復查。<br/>2.部分情況會合併視網膜脫離，避免劇烈運動
视网膜有髓神经纤维 ______ 視網膜有髓神經纖維
影像可见沿神经纤维走行的白色不透明，有丝样光泽羽毛状区域。 ______ 影像有沿神經纖維走行的白色不透明，有絲樣光澤羽毛狀區域。
是发育异常性疾病，一般不影响视力，也无需治疗。 ______ 是發育異常性疾病，一般不影響視力，也無需治療。
视网膜色素变性 ______ 視網膜色素變性
影像可见视网膜色泽污秽，有色素脱离和沉着等类似改变。 ______ 影像出現視網膜色澤污穢，有色素脫離和沈著等類似改變。
是一种进行性、遗传性、营养不良性退行性病变，主要表现为慢性进行性视野缺失，夜盲，色素性视网膜病变，最终可导致视力下降。 ______ 是一種進行性、遺傳性、營養不良性退行性病變，主要表現為慢性進行性視野缺失，夜盲，色素性視網膜病變，最終可導致視力下降。
1.遗传性病变，尚无有效疗法。<br/>2.定期复查 ______ 1.遺傳性病變，尚無有效療法。<br/>2.定期復查
Coats病 ______ Coats病
影像可见视网膜大片渗出斑块等类似改变，呈白色或黄白色，视网膜动静脉均有明显损害。 ______ 影像有視網膜大片滲出斑塊等類似改變，呈白色或黃白色，視網膜動靜脈均有明顯損害。
以视网膜血管异常扩张和视网膜内层及外层渗出为特征，可引起视力下降。 ______ 以視網膜血管異常擴張和視網膜內層及外層滲出為特徵，可引起視力下降。
小柳原田病 ______ 小柳原田病
影像可见视盘周围视网膜水肿等类似改变，多湖状脱离，或有晚霞样改变。 ______ 影像有視盤周圍視網膜水腫等類似改變，多湖狀脫離，或有晚霞樣改變。
又称葡萄膜大脑炎综合征，是我国最常见的葡萄膜炎类型之一，临床表现除眼部症状，多伴有听觉功能障碍，脑膜刺激征及皮肤和毛发改变等全身性疾病。 ______ 又稱葡萄膜大腦炎綜合徵，是我國最常見的葡萄膜炎類型之一，臨床表現除眼部症狀，多伴有聽覺功能障礙，腦膜刺激徵及皮膚和毛髮改變等全身性疾病。
中重度眼底病变 ______ 中重度眼底病變
眼底可见色泽与形态异常，提示脉络膜病变、视神经病变或者视网膜病变可能。 ______ 眼底有色澤與形態異常，提示脈絡膜病變、視神經病變或者視網膜病變可能。
黄斑水肿 ______ 黃斑水腫
视网膜影像可见黄斑区色泽异常，中心凹反光消失，有炎性等类似改变。 ______ 視網膜影像有黃斑區色澤異常，中心凹反光消失，有炎性等類似改變。
黄斑区炎性反应，会造成视力严重下降 ______ 黃斑區炎性反應，會造成視力嚴重下降
豹纹样改变 ______ 豹紋樣改變
近视/弥漫性萎缩 ______ 近視/瀰漫性萎縮
眼底可见后极部呈现黄白色外观，边缘可见色素沉着。 ______ 眼底有後極部呈現黃白色外觀，邊緣可見色素沉著。
是病理性近视的常见眼底表现。 ______ 是病理性近視的常見眼底表現。
近视/斑片状萎缩 ______ 近視/斑片狀萎縮
黄斑区及视盘周围出现边界明确的灰白色损害，萎缩灶内可见色素沉着。 ______ 黃斑區及視盤周圍出現邊界明確的灰白色損害，萎縮灶內可見色素沉著。
近视/黄斑区萎缩 ______ 近視/黃斑區萎縮
中心凹附近区域呈现边界明确的灰白色或白色的圆形病灶。 ______ 中心凹附近區域呈現邊界明確的灰白色或白色的圓形病灶。
是病理性近视的眼底表现。 ______ 是病理性近視的眼底表現。
轻度眼底病变 ______ 輕度眼底病變
眼底可见色泽与形态轻度异常，提示视网膜或者视网膜血管轻度改变，有轻度病变或者生理性老化迹象。 ______ 眼底有色澤與形態輕度異常，提示視網膜或者視網膜血管輕度改變，有輕度病變或者生理性老化跡象。
玻璃体变性 ______ 玻璃體變性
视网膜影像提示尘状、条状及块状模糊不清影。 ______ 視網膜影像提示塵狀、條狀及塊狀模糊不清影。
眼球内透明的玻璃凝胶主体，出现凝缩和液化，导致了浑浊、透光不均，可引起飞蚊症、视物模糊，严重可牵拉视网膜造成视力严重下降。 ______ 眼球內透明的玻璃凝膠主體，出現凝縮和液化，導致了渾濁、透光不均，可引起飛蚊症、視物模糊，嚴重可牽拉視網膜造成視力嚴重下降。
动脉阻塞 ______ 動脈阻塞
提示视网膜呈苍白色混浊。 ______ 提示視網膜呈蒼白色混濁。
可引起失明的严重急性病变。 ______ 可引起失明的嚴重急性病變。
分支动脉阻塞 ______ 分支動脈阻塞
视网膜脱离（后极部） ______ 視網膜脫離（後極部）
视网膜后极部视网膜部分区域呈灰色或青灰色，并有皱褶或者劈裂等类似改变。 ______ 視網膜後極部視網膜部分區域呈灰色或青灰色，並有皺褶或者劈裂等類似改變。
是视网膜的神经层与下层组织的分离。脱离部分的视网膜无法感知光刺激，导致眼部来的图像不完整或全部缺失。是可引起失明的严重病变。 ______ 是視網膜的神經層與下層組織的分離。脫離部分的視網膜無法感知光刺激，導致眼部來的圖像不完整或全部缺失。是可引起失明的嚴重病變。
视网膜动脉瘤 ______ 視網膜動脈瘤
影像显示视网膜动脉分支出现圆形或纺锤形瘤体。 ______ 影像顯示視網膜動脈分支出現圓形或紡錘形瘤體。
老年人常见的眼底疾病。 ______ 老年人常見的眼底疾病。
脉络膜骨瘤 ______ 脈絡膜骨瘤
影像显示后极部扁平的类圆形肿物等类似改变。 ______ 影像顯示後極部扁平的類圓形腫物等類似改變。
具有遗传倾向的眼底肿瘤疾病。 ______ 具有遺傳傾向的眼底腫瘤疾病。
周边视网膜变性 ______ 周邊視網膜變性
玻璃体积血 ______ 玻璃體積血
影像可见视网膜前血液阴影等类似改变。 ______ 影像有視網膜前血液陰影等類似改變。
眼底血管破裂出血引起的一种常见异常。 ______ 眼底血管破裂出血引起的一種常見異常。
小玻璃膜疣 ______ 小脈絡膜小疣
中等玻璃膜疣 ______ 中等脈絡膜小疣
大玻璃膜疣/色素异常 ______ 大脈絡膜小疣/色素異常
视网膜可见大玻璃膜疣或者色素异常特征等类似改变，直径＞125微米。 ______ 視網膜有大玻璃膜疣或者色素異常特徵等類似改變，直徑＞125微米。
由于视网膜老化、长期有害光线损害等原因，造成视网膜色素细胞产生异常代谢产物沉积，多发于黄斑部，严重时可影响视力。 ______ 由於視網膜老化、長期有害光線損害等原因，造成視網膜色素細胞產生異常代謝產物沉積，多發於黃斑部，嚴重時可影響視力。
新生血管性黄斑病变 ______ 新生血管性黃斑病變
AMD地图萎缩 ______ AMD地圖萎縮
黄斑前膜 ______ 黃斑前膜
视网膜黄斑区色泽异常，中心凹反光消失，有薄膜样反光或者灰白膜表现。 ______ 視網膜黃斑區色澤異常，中心凹反光消失，有薄膜樣反光或者灰白膜表現。
多因视网膜老化，造成在视网膜黄斑部内部形成血管性纤维增生膜。严重时会造成视力下降。 ______ 多因視網膜老化，造成在視網膜黃斑部內部形成血管性纖維增生膜。嚴重時會造成視力下降。
中心性浆液脉络膜视网膜病变 ______ 中心性漿液脈絡膜視網膜病變
黄斑区色泽异常，中心凹反光消失，有圆形或卵圆形隆起，淡黄或灰黄色边界。 ______ 黃斑區色澤異常，中心凹反光消失，有圓形或卵圓形隆起，淡黃或灰黃色邊界。
指黄斑区或者视网膜后部发生神经上皮脱离。严重时可表现为患者轻度视力下降、视物变形、变小并伴色觉改变；中心或旁中心暗点。 ______ 指黃斑區或者視網膜後部發生神經上皮脫離。嚴重時可表現為患者輕度視力下降、視物變形、變小並伴色覺改變；中心或旁中心暗點。
黄斑裂孔 ______ 黃斑裂孔
视网膜影像可见黄斑区色泽异常，中心凹反光消失，有环状或孔状表现。 ______ 視網膜影像有黃斑區色澤異常，中心凹反光消失，有環狀或孔狀表現。
黄斑裂孔是视网膜黄斑部内膜发生组织缺损。严重时会造成视力下降、视物模糊、中心暗点、视物变形。 ______ 黃斑裂孔是視網膜黃斑部內膜發生組織缺損。嚴重時會造成視力下降、視物模糊、中心暗點、視物變形。
中度（视网膜病变） ______ 中度（視網膜病變）
视盘炎（视神经乳头炎） ______ 視盤炎（視神經乳頭炎）
视乳头水肿 ______ 視乳頭水腫
前部缺血性视神经病变 ______ 前部缺血性視神經病變
其他疾病 ______ 其他疾病
图片不可读 ______ 圖片不可讀
视网膜照片是通过瞳孔照亮视网膜成像，如果白内障（晶体混浊）或瞳孔过小会导致成像不清晰从而无法识别，建议眼科检查。 ______ 視網膜照片是通過瞳孔照亮視網膜成像，如果白內障（晶體混濁）或瞳孔過小會導致成像不清晰從而無法識別，建議眼科檢查。
视网膜照片是通过瞳孔照亮视网膜成像，如果白内障（晶体混浊）或瞳孔过小会导致成像不清晰从而无法识别。 ______ 視網膜照片是通過瞳孔照亮視網膜成像，如果白內障（晶體混濁）或瞳孔過小會導致成像不清晰從而無法識別。
发现病变可能 ______ 發現病變可能
眼底有色泽与形态异常，提示脉络膜病变、视神经病变或视网膜病变可能。 ______ 眼底有色澤與形態異常，提示脈絡膜病變、視神經病變或視網膜病變可能。
其他黄斑部异常 ______ 其他黃斑部異常
眼底未见明显异常 ______ 眼底未見明顯異常
因瞳孔较小或白内障等原因，导致图像略有模糊，在可辨识范围内未见明显眼底异常。 ______ 因瞳孔較小或白內障等原因，導致圖像略有模糊，在可辨識範圍內未見明顯眼底異常。
玻璃膜疣 ______ 玻璃膜疣
视网膜可见黄白色斑点沉积，可能为玻璃膜疣样改变，直径＜125微米。 ______ 視網膜有黃白色斑點沉積，可能為脈絡膜小疣樣改變，直徑＜125微米。
由于视网膜老化、长期有害光线损害等原因，造成视网膜色素细胞产生少量异常代谢产物沉积，多发于黄斑部。 ______ 由於視網膜老化、長期有害光線損害等原因，造成視網膜色素細胞產生少量異常代謝產物沉積，多發於黃斑部。
脉络膜新生血管性病变/地图样萎缩 ______ 脈絡膜新生血管性病變/地圖樣萎縮
脉络膜新生血管性改变/地图样萎缩多发于视网膜黄斑部，随着其逐渐扩大、渗漏和破裂出血或萎缩，可致视力减退、视物变形，出现中心或旁中心暗点。 ______ 脈絡膜新生血管性改變/地圖樣萎縮多發於視網膜黃斑部，隨著其逐漸擴大、滲漏和破裂出血或萎縮，可致視力減退、視物變形，出現中心或旁中心暗點。
轻微病变可能 ______ 輕微病變可能
眼底可见色泽与形态轻度异常，提示有轻微病变可能。轻度病变如无视力改变等症状，一般无需治疗，以观察为主，每年复查。 ______ 眼底有色澤與形態輕度異常，提示有輕微病變可能。輕度病變如無視力改變等症狀，一般無需治療，以觀察為主，每年復查。
轻度病变如无视力改变等症状，一般无需治疗，以观察为主，每年复查。 ______ 輕度病變如無視力改變等症狀，一般無需治療，以觀察為主，每年復查。
病变可能 ______ 病變可能
眼底可见色泽与形态存在异常表现，提示有病变可能。 ______ 眼底有色澤與形態存在異常表現，提示有病變可能。
眼底动脉弹性减弱 ______ 眼底動脈彈性減弱
视网膜可见动脉反光带增宽，提示血管弹性减弱可能。 ______ 視網膜有動脈反光帶增寬，提示血管彈性減弱可能。
正常的血管为了让血液流动顺畅，所以内壁非常柔软。动脉弹性减弱是血管硬化的初期表现，血管硬化会导致血管内腔变窄，使得血液循环不顺畅。 ______ 正常的血管為了讓血液流動順暢，所以內壁非常柔軟。動脈彈性減弱是血管硬化的初期表現，血管硬化會導致血管內腔變窄，使得血液循環不順暢。
视神经异常 ______ 視神經異常
眼底可见视神经的各种异常的类似表现。 ______ 眼底有視神經的各種異常的類似表現。
其他轻微异常 ______ 其他輕微異常
视网膜可见色泽与形态轻度异常改变。 ______ 視網膜有色澤與形態輕度異常改變。
疑似轻微病理改变，但是不符合常见的病变特征。包括眼底的术后痕迹，和一些不常见、不明原因但是不影响功能的病变或特殊生理性改变。 ______ 疑似輕微病理改變，但是不符合常見的病變特徵。包括眼底的術後痕跡，和一些不常見、不明原因但是不影響功能的病變或特殊生理性改變。
其他明显异常 ______ 其他明顯異常
疑似明显病理改变，但是不符合常见的病变特征，需要进一步检查确认，确诊或排除一些可能会引起严重视觉损害的病变。 ______ 疑似明顯病理改變，但是不符合常見的病變特徵，需要進一步檢查確認，確診或排除一些可能會引起嚴重視覺損害的病變。
视网膜可见色泽与形态明显异常改变。 ______ 視網膜有色澤與形態明顯異常改變。
视盘边界不清 ______ 視盤邊界不清
视网膜可见视盘色泽异常，视网膜出血、边界不清或周边血管隆起等类似改变。 ______ 視網膜有視盤色澤異常，視網膜出血、邊界不清或周邊血管隆起等類似改變。
多与近视、高血压、糖尿病、眼底缺血神经性病变和全身性疾病等有关。平时用眼过度，长期视疲劳将加重此特征的改变。 ______ 多與近視、高血壓、糖尿病、眼底缺血神經性病變和全身性疾病等有關。平時用眼過度，長期視疲勞將加重此特徵的改變。
视神经是连接大脑和眼睛的一段神经。轻微的视神经异常可能对视觉没有什么影响，但是视神经异常严重时可引起视力减退、视野缺损等。 ______ 視神經是連接大腦和眼睛的一段神經。輕微的視神經異常可能對視覺沒有什麼影響，但是視神經異常嚴重時可引起視力減退、視野缺損等。
大致正常（有轻微年龄性改变） ______ 大致正常（有輕微年齡性改變）
眼底可见色泽与形态轻微年龄性改变，根据临床习惯，一般认为基本属于正常眼底，没有症状也无需治疗，以观察为主，每年复查。 ______ 眼底有色澤與形態輕微年齡性改變，根據臨床習慣，一般認為基本屬於正常眼底，沒有症狀也無需治療，以觀察為主，每年復查。
如无视力改变等症状，一般无需治疗，以观察为主，每年复查 ______ 如無視力改變等症狀，一般無需治療，以觀察為主，每年復查
视网膜少量出血 ______ 視網膜少量出血
视网膜可见散在出血点，怀疑毛细血管受损。 ______ 視網膜有散在出血點，懷疑毛細血管受損。
可能是疲劳、用眼过度、饮酒等引起的暂时性情况，也可能是全身疾病如高血压，糖尿病等的视网膜病变反应。 ______ 可能是疲勞、用眼過度、飲酒等引起的暫時性情況，也可能是全身疾病如高血壓，糖尿病等的視網膜病變反應。
提示有生理性老化或者年龄相关性黄斑变性可能。视网膜可见玻璃膜疣。 ______ 提示有生理性老化或者年齡相關性黃斑變性可能。視網膜可見玻璃膜疣。
视神经萎缩 ______ 視神經萎縮
提示视乳头颜色为淡黄或苍白色，生理凹陷消失。 ______ 提示視乳頭顏色為淡黃或蒼白色，生理凹陷消失。
视神经萎缩是指视神经因某些疾病损伤后的最终严重结果，视神经纤维的变性和消失，传导功能障碍，出现视野变化，视力减退并丧失。 ______ 視神經萎縮是指視神經因某些疾病損傷後的最終嚴重結果，視神經纖維的變性和消失，傳導功能障礙，出現視野變化，視力減退並喪失。
玻璃膜疣/色素异常 ______ 玻璃膜疣/色素異常
视网膜可见黄白色斑点沉积，直径＜125μm。 ______ 視網膜發現黃白色斑點沉積，直徑＜125μm。
病理性近视 ______ 病理性近視
眼底视网膜色素上皮层色素减少或消失，可见脉络膜红色血管与血管网之间的褐色色素交错形成豹纹状。提示有生理性或者近视性眼底改变。 ______ 眼底視網膜色素上皮層色素減少或消失，可見脈絡膜紅色血管與血管網之間的褐色色素交錯形成豹紋狀。提示有生理性或者近視性眼底改變。
严重杯盘比偏大 ______ 嚴重杯盤比偏大
提示生理性大杯或青光眼可能。表现为视杯、视盘比值偏大。 ______ 提示生理性大杯或青光眼可能。表現為視杯、視盤比值偏大。
严重黄斑前膜 ______ 嚴重黃斑前膜
严重黄斑部异常 ______ 嚴重黃斑部異常
视网膜可见黄斑区色泽异常，中心凹反光消失或存在其他病灶。 ______ 視網膜發現黃斑區色澤異常，中心凹反光消失或存在其他病灶。
严重视神经异常 ______ 嚴重視神經異常
眼底可见视神经的各种异常表现。 ______ 眼底有視神經的各種異常表現。
严重视乳头水肿 ______ 嚴重視乳頭水腫
视网膜影像可见视盘色泽异常，较明显的视盘边界不清 ______ 視網膜影像可見視盤色澤異常，較明顯的視盤邊界不清
严重时有视力下降可能 ______ 嚴重時有視力下降可能
视盘前膜 ______ 視盤前膜
影像提示视盘部出现带有光泽的结缔组织样膜。 ______ 影像提示視盤部出現帶有光澤的結締組織樣膜。
一种发生在视盘的先天发育异常。 ______ 一種發生在視盤的先天發育異常。
视盘前血管襻 ______ 視盤前血管襻
视网膜血管在视盘前长入乳头，呈“8”字形或螺旋形。 ______ 視網膜血管在視盤前長入乳頭，呈“8”字形或螺旋形。
一种发生在视盘的视网膜血管的先天畸形。 ______ 一種發生在視盤的視網膜血管的先天畸形。
建议进一步进行眼科检查。 ______ 建議進一步進行眼科檢查。
脉络膜新生血管性病变 ______ 脈絡膜新生血管性病變
影像显示纤维血管性增生病灶 ______ 影像顯示纖維血管性增生病灶
可引起失明的严重病变。 ______ 可引起失明的嚴重病變。
地图样萎缩 ______ 地圖樣萎縮
影像显示黄斑区脉络膜萎缩，视网膜色素上皮缺失等类似改变。 ______ 影像顯示黃斑區脈絡膜萎縮，視網膜色素上皮缺失等類似改變。
晚期年龄相关性黄斑变性的常见表现。 ______ 晚期年齡相關性黃斑變性的常見表現。
结晶样视网膜变性 ______ 結晶樣視網膜變性
后极部呈青灰色调，视网膜内层散布黄色、结晶样闪光点。 ______ 後極部呈青灰色調，視網膜內層散佈黃色、結晶樣閃光點。
一种具有遗传性的视网膜退行性改变。 ______ 一種具有遺傳性的視網膜退行性改變。
白点状视网膜病变 ______ 白點狀視網膜病變
视网膜广泛分布白色圆形小点，大小一致，形状规整。 ______ 視網膜廣泛分佈白色圓形小點，大小一致，形狀規整。
视网膜血管样条纹症 ______ 視網膜血管樣條紋症
视网膜下呈现暗红色、粗细不等的不规则条带。 ______ 視網膜下呈現暗紅色、粗細不等的不規則條帶。
一种可引起视力永久性下降的疾病。 ______ 一種可引起視力永久性下降的疾病。
视网膜前膜 ______ 視網膜前膜
影像显示视网膜表面出现灰色半透明的白色纤维膜。 ______ 影像顯示視網膜表面出現灰色半透明的白色纖維膜。
一种与年龄相关的增生性疾病。 ______ 一種與年齡相關的增生性疾病。
无症状建议定期复查。 ______ 無症狀建議定期復查。
白化病眼底 ______ 白化病眼底
影像呈橙红色，脉络膜血管清晰可见。 ______ 影像呈橙紅色，脈絡膜血管清晰可見。
由于先天性黑色素缺乏引起的遗传性疾病。 ______ 由於先天性黑色素缺乏引起的遺傳性疾病。
脉络膜色素痣 ______ 脈絡膜色素痣
影像显示视网膜下有青灰色类圆形斑片，边界清晰。 ______ 影像顯示視網膜下有青灰色類圓形斑片，邊界清晰。
一种良性的眼内黑色素瘤。 ______ 一種良性的眼內黑色素瘤。
玻璃体后脱离 ______ 玻璃體後脫離
影像可见呈单个环形、浅灰色的浑浊物投影。 ______ 影像可見呈單個環形、淺灰色的渾濁物投影。
是一种常见的与年龄相关的临床症状。 ______ 是一種常見的與年齡相關的臨床症狀。
无明显症状者定期复查，出现眼前漂浮物等症状应就医做进一步检查。 ______ 無明顯症狀者定期復查，出現眼前漂浮物等症狀應就醫做進一步檢查。
未发现糖尿病性视网膜病变 ______ 未發現糖尿病性視網膜病變
视网膜影像未见微血管瘤、出血点、硬性渗出等糖尿病性视网膜病变表现。 ______ 視網膜影像未見微血管瘤、出血點、硬性滲出等糖尿病性視網膜病變表現。
未见以上所列特征性改变 ______ 未見以上所列特徵性改變
疑似白内障 ______ 疑似白內障
目前情况良好，建议定期复查。可能因小瞳孔或某些原因导致部分照片不可读，识别结果仅针对可读图片。 ______ 目前情況良好，建議定期復查。可能因小瞳孔或某些原因導致部分照片不可讀，識別結果僅針對可讀圖片。
目前情况良好，建议定期复查。可能因白内障或某些原因导致部分照片不可读，识别结果仅针对可读图片。 ______ 目前情況良好，建議定期復查。可能因白內障或某些原因導致部分照片不可讀，識別結果僅針對可讀圖片。
可能因白内障或小瞳孔等原因造成视网膜影像无法识别，请进一步眼科检查。 ______ 可能因白內障或小瞳孔等原因造成視網膜影像無法識別，請進一步眼科檢查。
建议定期复查眼底，密切观察是否有视力下降、视物模糊等症状，如有症状请及时就诊。 ______ 建議定期復查眼底，密切觀察是否有視力下降、視物模糊等症狀，如有症狀請及時就診。
未见异常表现。可能由于患者自身条件原因造成部分视网膜影像不可读，本次分析结果仅对可识别部分影像。 ______ 未見異常表現。可能由於患者自身條件原因造成部分視網膜影像不可讀，本次分析結果僅對可識別部分影像。
可能由于患者自身条件原因造成视网膜影像无法识别，建议临床其它眼科检查。 ______ 可能由於患者自身條件原因造成視網膜影像無法識別，建議臨床其它眼科檢查。
患者如有其他主诉症状，请结合临床进一步眼科检查。 ______ 患者如有其他主訴症狀，請結合臨床進一步眼科檢查。
目前暂无需就医治疗，定期复查。 ______ 目前暫無需就醫治療，定期復查。
如有视力下降、眼胀眼痛、视物模糊变形等症状，请及时就诊。 ______ 如有視力下降、眼脹眼痛、視物模糊變形等症狀，請及時就診。否則暫無需就醫。
视网膜存在严重病变高风险，视力可能受到严重影响，建议立即到医院眼科就诊。 ______ 視網膜存在嚴重病變高風險，視力可能受到嚴重影響，建議立即到醫院眼科就診。
影像未见异常特征表现，定期随访。 ______ 影像未見異常特徵表現，定期隨訪。
如患者有视力下降、眼胀眼痛、视物模糊变形等其他主诉症状，请结合临床进一步眼科检查。 ______ 如患者有視力下降、眼脹眼痛、視物模糊變形等其他主訴症狀，請結合臨床進一步眼科檢查。
图片不可读，请重新拍摄。 ______ 圖片不可讀，請重新拍攝。
未发现中度非增殖性（含）以上糖尿病性视网膜病变，建议定期复查。 ______ 未發現中度非增殖性（含）以上糖尿病性視網膜病變，建議定期復查。
发现中度非增殖性（含）以上糖尿病性视网膜病变，建议及时眼科就诊。 ______ 發現中度非增殖性（含）以上糖尿病性視網膜病變，建議及時眼科就診。
立即就医 ______ 立即就醫
需要就医 ______ 需要就醫
未见明显异常 ______ 未見明顯異常
双眼图片质量不佳 ______ 雙眼圖片質量不佳
如有症状，需要就医 ______ 如有症狀，需要就醫
未发现中度非增殖性（含）以上糖尿病性视网膜病变 ______ 未發現中度非增殖性（含）以上糖尿病性視網膜病變
，建议定期复查 ______ ，建議定期復查
，建议定期复查。 ______ ，建議定期復查。
贫血是指人体的血液中没有足够量的红细胞，会导致不能对组织器官充分供应氧气，甚至引起器官的病变。全球贫血的患病率为24.8%。女性的贫血风险是男性的3倍。 ______ 貧血是指人體的血液中沒有足夠量的紅細胞，會導致不能對組織器官充分供應氧氣，甚至引起器官的病變。全球貧血的患病率為24.8%。女性的貧血風險是男性的3倍。
其中学龄前儿童和孕妇是贫血的高危人群。 ______ 其中學齡前兒童和孕婦是貧血的高危人群。
发现中度非增殖性（含）以上糖尿病性视网膜病变 ______ 發現中度非增殖性（含）以上糖尿病性視網膜病變
，建议及时眼科就诊。 ______ ，建議及時眼科就診。
